RecordID_Int,ParcelNumber,Description,CardNumber,cvgiscityvw_OpenData_Parcels_AdditionsArea,StreetName,StreetNumber,Unit
151,010027000,Stone Patio,,897,FIELD RD,1863,
152,010027000,Stoop,,36,FIELD RD,1863,
153,010028000,First Floor,,2625,FIELD RD,1865,
154,010028000,Open Porch,,127,FIELD RD,1865,
155,010028000,Stone Patio,,454,FIELD RD,1865,
156,010029000,First Floor,,2295,FIELD RD,1867,
157,010029000,Carport,,663,FIELD RD,1867,
158,010029000,Finished Half-Story,,1305,FIELD RD,1867,
159,010029000,Open Porch,,48,FIELD RD,1867,
160,010029000,Stone Patio,,231,FIELD RD,1867,
161,010029000,Storage,,51,FIELD RD,1867,
162,010029000,Stoop,,45,FIELD RD,1867,
163,010030000,First Floor,,1936,FIELD RD,1869,
164,010030000,Cellar,,434,FIELD RD,1869,
165,010030000,Concrete Patio,,53,FIELD RD,1869,
166,010030000,Carport,,588,FIELD RD,1869,
167,010030000,Finished Attic,,1736,FIELD RD,1869,
168,010030000,Stone Patio,,540,FIELD RD,1869,
169,010030000,Sunroom,,90,FIELD RD,1869,
170,010030100,First Floor,,1222,FIELD RD,1871,
171,010030100,Basement,,1400,FIELD RD,1871,
172,010030100,Deck,,355,FIELD RD,1871,
173,010030100,Finished Attic,,1647,FIELD RD,1871,
174,010030100,Screened Porch,,78,FIELD RD,1871,
175,010030100,Stoop,,35,FIELD RD,1871,
176,010031000,First Floor,,2069,FIELD RD,1873,
177,010031000,Finished Attic,,2059,FIELD RD,1873,
178,010031000,Glass Enclosed 1/Sty,,143,FIELD RD,1873,
179,010031000,Stone Patio,,54,FIELD RD,1873,
180,010032000,First Floor,,2676,FIELD RD,1877,
181,010032000,Second Floor,,748,FIELD RD,1877,
182,010032000,Basement,,1482,FIELD RD,1877,
183,010032000,Deck,,210,FIELD RD,1877,
184,010032000,Stoop,,98,FIELD RD,1877,
185,010033000,First Floor,,1368,FIELD RD,1884,
186,010033000,Basement,,1368,FIELD RD,1884,
187,010033000,Open Porch,,162,FIELD RD,1884,
188,010033000,Stoop,,136,FIELD RD,1884,
189,010034000,First Floor,,1622,FIELD RD,1882,
190,010034000,Basement,,1622,FIELD RD,1882,
191,010034000,Slab,,20,FIELD RD,1882,
192,010034000,Stoop,,81,FIELD RD,1882,
193,010034000,Unfinished Attic,,1472,FIELD RD,1882,
194,010035000,First Floor,,1249,FIELD RD,1874,
195,010035000,Basement,,1141,FIELD RD,1874,
196,010035000,Finished Half-Story,,837,FIELD RD,1874,
197,010035000,Stone Patio,,304,FIELD RD,1874,
198,010035000,Stoop,,78,FIELD RD,1874,
199,010036000,First Floor,,2398,FIELD RD,1872,
200,010036000,Basement,,1550,FIELD RD,1872,
201,010036000,Finished Half-Story,,1662,FIELD RD,1872,
202,010036000,Open Porch,,36,FIELD RD,1872,
203,010036000,Slab,,12,FIELD RD,1872,
204,010036000,Stoop,,20,FIELD RD,1872,
205,010037000,First Floor,,1950,FIELD RD,1870,
206,010037000,Basement,,1780,FIELD RD,1870,
207,010037000,Finished Two-Thirds,,1780,FIELD RD,1870,
208,010037000,Open Porch,,238,FIELD RD,1870,
209,010038000,First Floor,,2400,FIELD RD,1868,
210,010038000,Second Floor,,1080,FIELD RD,1868,
211,010038000,Basement,,2160,FIELD RD,1868,
212,010038000,Deck,,272,FIELD RD,1868,
213,010038000,Open Porch,,65,FIELD RD,1868,
214,010038000,Screened Porch,,144,FIELD RD,1868,
215,010039000,First Floor,,1810,FIELD RD,1866,
216,010039000,Basement,,1640,FIELD RD,1866,
217,010039000,Concrete Patio,,418,FIELD RD,1866,
218,010039000,Open Porch,,28,FIELD RD,1866,
219,010039000,Stoop,,40,FIELD RD,1866,
220,010040000,First Floor,,1596,FIELD RD,1864,
221,010040000,Basement,,1596,FIELD RD,1864,
222,010040000,Screened Porch,,200,FIELD RD,1864,
223,010040000,Slab,,8,FIELD RD,1864,
224,010040000,Stoop,,28,FIELD RD,1864,
225,010041000,First Floor,,3992,FENDALL TER,906,
226,010041000,Basement,,2688,FENDALL TER,906,
227,010041000,Open Porch,,108,FENDALL TER,906,
228,010041000,Garage,,717,FENDALL TER,906,
229,010041000,Solarium,,1021,FENDALL TER,906,
230,010041000,Stone Patio,,320,FENDALL TER,906,
231,010041000,Vaulted Ceiling,,1134,FENDALL TER,906,
232,010042000,First Floor,,1844,WINSTON RD,1859,
233,010042000,Second Floor,,1743,WINSTON RD,1859,
234,010042000,Basement,,1239,WINSTON RD,1859,
235,010042000,Canopy,,35,WINSTON RD,1859,
236,010042000,Deck,,307,WINSTON RD,1859,
237,010042000,Stoop,,35,WINSTON RD,1859,
238,010043000,First Floor,,1231,WINSTON RD,1861,
239,010043000,Basement,,1231,WINSTON RD,1861,
240,010043000,Cathedral Ceiling,,1231,WINSTON RD,1861,
241,010043000,Deck,,704,WINSTON RD,1861,
242,010043000,Open Porch,,73,WINSTON RD,1861,
243,010043000,Stone Patio,,140,WINSTON RD,1861,
244,010044000,First Floor,,2117,WINSTON RD,1863,
245,010044000,Second Floor,,1519,WINSTON RD,1863,
246,010044000,Basement,,1519,WINSTON RD,1863,
247,010044000,Carport,,340,WINSTON RD,1863,
248,010044000,Open Porch,,50,WINSTON RD,1863,
249,010044000,Solarium,,370,WINSTON RD,1863,
250,010044000,Stone Patio,,402,WINSTON RD,1863,
251,010045000,First Floor,,1780,WINSTON RD,1867,
252,010045000,Second Floor,,1022,WINSTON RD,1867,
253,010045000,Basement,,588,WINSTON RD,1867,
254,010045000,Open Porch,,112,WINSTON RD,1867,
255,010045000,Glass Enclosed 1/Sty,,240,WINSTON RD,1867,
256,010045000,Garage,,210,WINSTON RD,1867,
257,010046000,First Floor,,1198,FENDALL TER,901,
258,010046000,Second Floor,,936,FENDALL TER,901,
259,010046000,Basement,,1188,FENDALL TER,901,
260,010046000,Canopy,,65,FENDALL TER,901,
261,010046000,Finished Half-Story,,252,FENDALL TER,901,
262,010046000,Open Porch,,24,FENDALL TER,901,
263,010046000,Stone Patio,,365,FENDALL TER,901,
264,010046000,Stoop,,14,FENDALL TER,901,
265,010047000,First Floor,,2137,FENDALL TER,905,
266,010047000,Basement,,1475,FENDALL TER,905,
267,010047000,Concrete Patio,,204,FENDALL TER,905,
268,010047000,Open Porch,,192,FENDALL TER,905,
269,010047000,Unfinished Attic,,1957,FENDALL TER,905,
270,010048000,First Floor,,5678,EMMET ST N,918,
271,010048000,Second Floor,,5678,EMMET ST N,918,
272,010048000,Third Floor,,5678,EMMET ST N,918,
273,010048200,First Floor,,5678,EMMET ST N,914,
274,010048200,Second Floor,,5678,EMMET ST N,914,
275,010048200,Third Floor,,5678,EMMET ST N,914,
276,020002000,First Floor,,400,BARRACKS RD,0,
277,020002000,Basement,,400,BARRACKS RD,0,
278,020002000,Finished Half-Story,,400,BARRACKS RD,0,
279,020003000,First Floor,,1271,BARRACKS RD,1910,
280,020003000,Second Floor,,1271,BARRACKS RD,1910,
281,020003000,Basement,,1271,BARRACKS RD,1910,
282,020003000,Canopy,,210,BARRACKS RD,1910,
283,020003000,Concrete Patio,,210,BARRACKS RD,1910,
284,020003000,Deck,,48,BARRACKS RD,1910,
285,020003000,Open Porch,,798,BARRACKS RD,1910,
286,020003000,Garage,,399,BARRACKS RD,1910,
287,020003000,Storage,,399,BARRACKS RD,1910,
288,020003000,Stoop,,84,BARRACKS RD,1910,
289,020003000,First Floor,,308,BARRACKS RD,1910,
290,020004000,First Floor,,1370,BUCKINGHAM RD,120,
291,020004000,Basement,,1350,BUCKINGHAM RD,120,
292,020004000,Slab,,20,BUCKINGHAM RD,120,
293,020004000,Stone Patio,,729,BUCKINGHAM RD,120,
294,020004000,Stoop,,24,BUCKINGHAM RD,120,
295,020005000,First Floor,,1800,BUCKINGHAM RD,128,
296,020005000,Second Floor,,1420,BUCKINGHAM RD,128,
297,020005000,Basement,,1244,BUCKINGHAM RD,128,
298,020005000,Finished Enclosed Porch,,220,BUCKINGHAM RD,128,
299,020005000,Glass Enclosed 1/Sty,,210,BUCKINGHAM RD,128,
300,020005000,Garage,,308,BUCKINGHAM RD,128,
301,020005000,Stone Patio,,462,BUCKINGHAM RD,128,
302,020005000,Stoop,,12,BUCKINGHAM RD,128,
303,020005000,Unfinished Attic,,936,BUCKINGHAM RD,128,
304,020006000,First Floor,,1769,BUCKINGHAM RD,108,
305,020006000,W/Bsmt Brick 1/Sty,,10,BUCKINGHAM RD,108,
306,020006000,Basement,,1790,BUCKINGHAM RD,108,
307,020006000,Deck,,522,BUCKINGHAM RD,108,
308,020006000,Finished Attic,,1750,BUCKINGHAM RD,108,
309,020006000,Finished Enclosed Porch,,40,BUCKINGHAM RD,108,
310,020006000,Stone Patio,,32,BUCKINGHAM RD,108,
311,020006000,Stoop,,24,BUCKINGHAM RD,108,
312,020006100,First Floor,,1288,BUCKINGHAM RD,110,
313,020006100,Second Floor,,552,BUCKINGHAM RD,110,
314,020006100,Basement,,736,BUCKINGHAM RD,110,
315,020006100,Concrete Patio,,315,BUCKINGHAM RD,110,
316,020006100,Deck,,688,BUCKINGHAM RD,110,
317,020006100,Stoop,,120,BUCKINGHAM RD,110,
318,020006200,First Floor,,1200,BUCKINGHAM RD,114,
319,020006200,Basement,,1200,BUCKINGHAM RD,114,
320,020006200,Deck,,388,BUCKINGHAM RD,114,
321,020006200,Finished Basement,,1200,BUCKINGHAM RD,114,
322,020006200,Open Porch,,18,BUCKINGHAM RD,114,
323,020006200,Slab,,20,BUCKINGHAM RD,114,
324,020006300,First Floor,,1247,BUCKINGHAM RD,118,
325,020006300,Basement,,1247,BUCKINGHAM RD,118,
326,020006300,Concrete Patio,,645,BUCKINGHAM RD,118,
327,020006300,Deck,,312,BUCKINGHAM RD,118,
328,020006300,Finished Two-Thirds,,1247,BUCKINGHAM RD,118,
329,020006300,Stoop,,20,BUCKINGHAM RD,118,
330,020007000,First Floor,,1746,BUCKINGHAM RD,104,
331,020007000,Basement,,1746,BUCKINGHAM RD,104,
332,020007000,Finished Half-Story,,1650,BUCKINGHAM RD,104,
333,020007000,Open Porch,,40,BUCKINGHAM RD,104,
334,020007000,Screened Porch,,312,BUCKINGHAM RD,104,
335,020007000,Trex Deck,,228,BUCKINGHAM RD,104,
336,020008000,First Floor,,783,BARRACKS RD,1820,
337,020008000,Basement,,1069,BARRACKS RD,1820,
338,020008000,Canopy,,216,BARRACKS RD,1820,
339,020008000,Concrete Patio,,27,BARRACKS RD,1820,
340,020008000,Finished Attic,,910,BARRACKS RD,1820,
341,020008000,Finished Enclosed Porch,,159,BARRACKS RD,1820,
342,020008000,Frame Enclosed 1/Sty,,63,BARRACKS RD,1820,
343,020008000,Screened Porch,,216,BARRACKS RD,1820,
344,020008000,Stoop,,24,BARRACKS RD,1820,
345,020009000,First Floor,,1171,BARRACKS RD,1812,
346,020009000,Basement,,1158,BARRACKS RD,1812,
347,020009000,Carport,,240,BARRACKS RD,1812,
348,020009000,Open Porch,,108,BARRACKS RD,1812,
349,020009000,Slab,,56,BARRACKS RD,1812,
350,020010000,First Floor,,1382,HOWARD DR,116,
351,020010000,Basement,,1412,HOWARD DR,116,
352,020010000,Concrete Patio,,104,HOWARD DR,116,
353,020010000,Finished Attic,,1382,HOWARD DR,116,
354,020010000,Open Porch,,30,HOWARD DR,116,
355,020010000,Screened Porch,,232,HOWARD DR,116,
356,020010000,Stone Patio,,32,HOWARD DR,116,
357,020011000,First Floor,,1608,HOWARD DR,114,
358,020011000,Second Floor,,1050,HOWARD DR,114,
359,020011000,Basement,,1261,HOWARD DR,114,
360,020011000,Finished Half-Story,,1320,HOWARD DR,114,
361,020011000,Open Porch,,56,HOWARD DR,114,
362,020011000,Slab,,16,HOWARD DR,114,
363,020011000,Stoop,,25,HOWARD DR,114,
364,020012000,First Floor,,1435,HOWARD DR,112,
365,020012000,Basement,,1435,HOWARD DR,112,
366,020012000,Screened Porch,,152,HOWARD DR,112,
367,020012000,Slab,,35,HOWARD DR,112,
368,020012000,Stoop,,60,HOWARD DR,112,
369,020012000,Unfinished Utility Area,,32,HOWARD DR,112,
370,020013000,First Floor,,1060,HOWARD DR,110,
371,020013000,Basement,,1083,HOWARD DR,110,
372,020013000,Finished Attic,,945,HOWARD DR,110,
373,020013000,Finished Enclosed Porch,,138,HOWARD DR,110,
374,020013000,Screened Porch,,91,HOWARD DR,110,
375,020013000,Stoop,,65,HOWARD DR,110,
376,020014000,First Floor,,816,BARRACKS RD,1808,
377,020014000,Basement,,852,BARRACKS RD,1808,
378,020014000,Finished Half-Story,,852,BARRACKS RD,1808,
379,020014000,Open Porch,,57,BARRACKS RD,1808,
380,020014000,Frame Enclosed 1/Sty,,319,BARRACKS RD,1808,
381,020014000,Stoop,,24,BARRACKS RD,1808,
382,020015000,First Floor,,1527,BARRACKS RD,1806,
383,020015000,Basement,,1384,BARRACKS RD,1806,
384,020015000,Deck,,336,BARRACKS RD,1806,
385,020015000,Open Porch,,180,BARRACKS RD,1806,
386,020015000,Screened Porch,,88,BARRACKS RD,1806,
387,020015000,Stone Patio,,112,BARRACKS RD,1806,
388,020015000,Vaulted Ceiling,,143,BARRACKS RD,1806,
389,020016000,First Floor,,1374,BARRACKS RD,1800,
390,020016000,Second Floor,,806,BARRACKS RD,1800,
391,020016000,Deck,,114,BARRACKS RD,1800,
392,020016000,Finished Attic,,806,BARRACKS RD,1800,
393,020016100,First Floor,,780,RUGBY RD,1107,
394,020016100,Second Floor,,780,RUGBY RD,1107,
395,020016100,Brick Patio,,180,RUGBY RD,1107,
396,020016100,Finished Attic,,780,RUGBY RD,1107,
397,020016100,Open Porch,,240,RUGBY RD,1107,
398,020016100,Screened Porch,,392,RUGBY RD,1107,
399,020016200,First Floor,,1073,RUGBY RD,1109,
400,020016200,Second Floor,,1001,RUGBY RD,1109,
401,020016200,Deck,,165,RUGBY RD,1109,
402,020016200,Open Porch,,40,RUGBY RD,1109,
403,020017000,First Floor,,1235,RUGBY RD,1105,
404,020017000,Basement,,988,RUGBY RD,1105,
405,020017000,Finished Half-Story,,988,RUGBY RD,1105,
406,020017000,Open Porch,,197,RUGBY RD,1105,
407,020019000,First Floor,,2059,RUGBY RD,1101,
408,020019000,Second Floor,,2059,RUGBY RD,1101,
409,020019000,Bay Window,,38,RUGBY RD,1101,
410,020019000,Basement,,976,RUGBY RD,1101,
411,020019000,Finished Attic,,798,RUGBY RD,1101,
412,020019000,Open Porch,,297,RUGBY RD,1101,
413,020019000,Garage,,798,RUGBY RD,1101,
414,020019000,Open W/Cover 2/Sty,,180,RUGBY RD,1101,
415,020019100,First Floor,,1429,ROSSER LN,947,
416,020019100,Second Floor,,1429,ROSSER LN,947,
417,020019100,Basement,,953,ROSSER LN,947,
418,020019100,Open Porch,,82,ROSSER LN,947,
419,020019100,Open W/Cover 2/Sty,,360,ROSSER LN,947,
420,020020000,First Floor,,3932,ROSSER LN,945,
421,020020000,Basement,,510,ROSSER LN,945,
422,020020000,Patio,,430,ROSSER LN,945,
423,020020000,Slab,,16,ROSSER LN,945,
424,020020000,Storage,,120,ROSSER LN,945,
425,020020000,Stoop,,108,ROSSER LN,945,
426,020021000,First Floor,,1561,ROSSER LN,941,
427,020021000,Second Floor,,1240,ROSSER LN,941,
428,020021000,Basement,,1240,ROSSER LN,941,
429,020021000,Stone Patio,,120,ROSSER LN,941,
430,020021000,Stoop,,40,ROSSER LN,941,
431,020022000,First Floor,,1163,ROSSER LN,939,
432,020022000,Second Floor,,1175,ROSSER LN,939,
433,020022000,Basement,,1175,ROSSER LN,939,
434,020022000,Deck,,136,ROSSER LN,939,
435,020022000,Stoop,,50,ROSSER LN,939,
436,020023000,First Floor,,2447,WESTVIEW RD,1801,
437,020023000,Second Floor,,1518,WESTVIEW RD,1801,
438,020023000,W/Bsmt Brick 1/Sty,,529,WESTVIEW RD,1801,
439,020023000,Basement,,384,WESTVIEW RD,1801,
440,020023000,Open Porch,,300,WESTVIEW RD,1801,
441,020023100,First Floor,,3373,WESTVIEW RD,1829,
442,020023100,Basement,,1910,WESTVIEW RD,1829,
443,020023100,Deck,,288,WESTVIEW RD,1829,
444,020023100,Finished Half-Story,,1910,WESTVIEW RD,1829,
445,020023100,Garage Under,,510,WESTVIEW RD,1829,
446,020023100,Pergola,,330,WESTVIEW RD,1829,
447,020023100,Stone Patio,,328,WESTVIEW RD,1829,
448,020023100,Stoop,,52,WESTVIEW RD,1829,
449,020023100,Sunroom,,510,WESTVIEW RD,1829,
450,020023A00,First Floor,,1616,ROSSER LN,921,
451,020023A00,Basement,,1056,ROSSER LN,921,
452,020023A00,Finished Half-Story,,1616,ROSSER LN,921,
453,020023A00,Open Porch,,70,ROSSER LN,921,
454,020024000,First Floor,,1666,WESTVIEW RD,1833,
455,020024000,Second Floor,,1624,WESTVIEW RD,1833,
456,020024000,Basement,,1624,WESTVIEW RD,1833,
457,020024000,Open Porch,,308,WESTVIEW RD,1833,
458,020024000,Garage,,580,WESTVIEW RD,1833,
459,020024000,Stone Patio,,140,WESTVIEW RD,1833,
460,020024000,Stoop,,32,WESTVIEW RD,1833,
461,020025000,First Floor,,2031,WESTVIEW RD,1839,
462,020025000,Second Floor,,624,WESTVIEW RD,1839,
463,020025000,Basement,,1307,WESTVIEW RD,1839,
464,020025000,Crawl Space,,724,WESTVIEW RD,1839,
465,020025000,Open Porch,,112,WESTVIEW RD,1839,
466,020025000,Patio,,675,WESTVIEW RD,1839,
467,020025000,Storage,,100,WESTVIEW RD,1839,
468,020025000,Stoop,,42,WESTVIEW RD,1839,
469,020025000,Sunroom,,195,WESTVIEW RD,1839,
470,020026000,First Floor,,1484,WESTVIEW RD,1861,
471,020026000,Second Floor,,1239,WESTVIEW RD,1861,
472,020026000,Basement,,1527,WESTVIEW RD,1861,
473,020026000,Open Porch,,302,WESTVIEW RD,1861,
474,020026000,Garage,,308,WESTVIEW RD,1861,
475,020026000,Stone Patio,,582,WESTVIEW RD,1861,
476,020027000,First Floor,,2878,WESTVIEW RD,1848,
477,020027000,Brick Patio,,317,WESTVIEW RD,1848,
478,020027000,Basement,,765,WESTVIEW RD,1848,
479,020027000,Deck,,128,WESTVIEW RD,1848,
480,020027000,Finished Attic,,1825,WESTVIEW RD,1848,
481,020027000,Open Porch,,315,WESTVIEW RD,1848,
482,020028000,First Floor,,2241,WESTVIEW RD,1844,
483,020028000,Cellar,,752,WESTVIEW RD,1844,
484,020028000,Finished Attic,,1106,WESTVIEW RD,1844,
485,020028000,Open Porch,,473,WESTVIEW RD,1844,
486,020028000,Unfinished Attic,,511,WESTVIEW RD,1844,
487,020029000,First Floor,,2620,WESTVIEW RD,1834,
488,020029000,Second Floor,,108,WESTVIEW RD,1834,
489,020029000,Basement,,360,WESTVIEW RD,1834,
490,020029000,Finished Attic,,520,WESTVIEW RD,1834,
491,020029000,Finished Half-Story,,1192,WESTVIEW RD,1834,
492,020029000,Screened Porch,,198,WESTVIEW RD,1834,
493,020029000,Stoop,,24,WESTVIEW RD,1834,
494,020031000,First Floor,,2284,FIELD RD,1859,
495,020031000,Second Floor,,2284,FIELD RD,1859,
496,020031000,Brick Patio,,651,FIELD RD,1859,
